target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IS,2026-05-10,4,quantile,0.95,2.6852927211498936,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.975,2.7480426290211453,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.975,1.8235831947314143,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.975,2.3058047618963937,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.975,2.8855833276329803,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.99,3.135328474943106,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.99,1.9995650352368752,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.99,2.341294125591337,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.99,3.3726629797769965,2026-04-22
ILI incidence,IS,2026-04-19,1,median,,2.1401704967232513,2026-04-22
ILI incidence,IS,2026-04-26,2,median,,1.1155958949246867,2026-04-22
ILI incidence,IS,2026-05-03,3,median,,1.8325368556311679,2026-04-22
ILI incidence,IS,2026-05-10,4,median,,2.182308274660289,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.01,2.172100173489631,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.01,2.388270856873995,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.01,1.8050137634092944,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.01,1.3329127745506602,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.025,2.3371920125293215,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.025,2.6027161081574035,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.025,3.3806455528890558,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.025,1.6511366396977218,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.05,2.5342111379802983,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.05,3.0733513741192717,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.05,3.4844015315259234,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.05,1.8986845806518071,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.1,2.762035220814381,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.1,3.30964412700958,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.1,3.694476036502824,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.1,2.027917452327792,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.15,2.862686289299323,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.15,3.3896828538030537,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.15,3.8032355587178106,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.15,2.080282323706429,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.2,2.930073678889515,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.2,3.4968773630557175,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.2,3.8372247946969362,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.2,2.125749699808319,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.25,2.972365490607014,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.25,3.530914846466215,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.25,3.8640870586312697,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.25,2.181435268324731,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.3,2.9929226560920617,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.3,3.6196908105008423,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.3,3.8813114138846565,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.3,2.312851773741047,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.35,3.006184470708955,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.35,3.6905627057669506,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.35,3.9141025443563753,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.35,2.399510127727459,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.4,3.037037221806389,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.4,3.7427904871388917,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.4,3.9632270370405522,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.4,2.462514151375348,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.45,3.0600000855608176,2026-04-22
