target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IS,2026-04-19,1,quantile,0.8,4.043919664346958,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.8,1.9203163297634387,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.8,2.810833086993395,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.8,4.497176755962378,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.85,4.212593080759046,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.85,2.0347482926473637,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.85,2.8712147695577652,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.85,4.638996224625857,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.9,4.37970620798868,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.9,2.5673662584605887,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.9,3.0240007007745593,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.9,4.688573549174526,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.95,4.5255503796883225,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.95,4.140536967925663,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.95,3.6660389442958157,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.95,4.756638847114641,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.975,4.6421523602674055,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.975,4.841978072802136,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.975,4.162351857215492,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.975,5.660544332113417,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.99,5.476503157367356,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.99,5.652061403436109,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.99,4.74153139906764,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.99,6.445544716778624,2026-04-22
ILI incidence,IS,2026-04-19,1,median,,3.557200507685109,2026-04-22
ILI incidence,IS,2026-04-26,2,median,,1.3381833734395183,2026-04-22
ILI incidence,IS,2026-05-03,3,median,,2.3703841270273447,2026-04-22
ILI incidence,IS,2026-05-10,4,median,,3.9764089585641225,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.01,1.1348511412154387,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.01,1.611947769419395,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.01,2.142723469995418,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.01,0.8268524485146639,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.025,1.8779674112527098,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.025,2.604817390654458,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.025,2.5697002342132746,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.025,0.9189927034395213,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.05,2.811506354669794,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.05,2.7449784317050834,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.05,3.1199449372919448,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.05,0.9706370505208394,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.1,2.844295404566095,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.1,3.823352859140254,2026-04-22
ILI incidence,IE,2026-05-03,3,quantile,0.1,3.772927586391141,2026-04-22
ILI incidence,IE,2026-05-10,4,quantile,0.1,1.2986769885583123,2026-04-22
ILI incidence,IE,2026-04-19,1,quantile,0.15,3.0480337985443238,2026-04-22
ILI incidence,IE,2026-04-26,2,quantile,0.15,3.869170815896005,2026-04-22
