target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,BE,2026-04-08,2026-04-19,0.7,3,quantile,111.481448027485
ILI incidence,BE,2026-04-08,2026-04-19,0.75,3,quantile,130.742487537475
ILI incidence,BE,2026-04-08,2026-04-19,0.8,3,quantile,159.073881459347
ILI incidence,BE,2026-04-08,2026-04-19,0.85,3,quantile,198.863343537225
ILI incidence,BE,2026-04-08,2026-04-19,0.9,3,quantile,243.817245402956
ILI incidence,BE,2026-04-08,2026-04-19,0.95,3,quantile,341.721890722159
ILI incidence,BE,2026-04-08,2026-04-19,0.975,3,quantile,443.143034092038
ILI incidence,BE,2026-04-08,2026-04-19,0.99,3,quantile,600.806845570062
ILI incidence,BE,2026-04-08,2026-04-26,0.01,4,quantile,0
ILI incidence,BE,2026-04-08,2026-04-26,0.025,4,quantile,0
ILI incidence,BE,2026-04-08,2026-04-26,0.05,4,quantile,0
ILI incidence,BE,2026-04-08,2026-04-26,0.1,4,quantile,0
ILI incidence,BE,2026-04-08,2026-04-26,0.15,4,quantile,1.18759097982753
ILI incidence,BE,2026-04-08,2026-04-26,0.2,4,quantile,7.94480262123748
ILI incidence,BE,2026-04-08,2026-04-26,0.25,4,quantile,16.0018594121333
ILI incidence,BE,2026-04-08,2026-04-26,0.3,4,quantile,23.8284126998462
ILI incidence,BE,2026-04-08,2026-04-26,0.35,4,quantile,32.383165704438
ILI incidence,BE,2026-04-08,2026-04-26,0.4,4,quantile,42.6985482658686
ILI incidence,BE,2026-04-08,2026-04-26,0.45,4,quantile,51.9410966092675
ILI incidence,BE,2026-04-08,2026-04-26,0.5,4,quantile,63.3663322766745
ILI incidence,BE,2026-04-08,2026-04-26,0.55,4,quantile,75.8009436129881
ILI incidence,BE,2026-04-08,2026-04-26,0.6,4,quantile,87.5159033615785
ILI incidence,BE,2026-04-08,2026-04-26,0.65,4,quantile,104.418542905351
ILI incidence,BE,2026-04-08,2026-04-26,0.7,4,quantile,123.516148945838
ILI incidence,BE,2026-04-08,2026-04-26,0.75,4,quantile,139.372625902208
ILI incidence,BE,2026-04-08,2026-04-26,0.8,4,quantile,177.097121208637
ILI incidence,BE,2026-04-08,2026-04-26,0.85,4,quantile,228.662769331717
ILI incidence,BE,2026-04-08,2026-04-26,0.9,4,quantile,313.662641722038
ILI incidence,BE,2026-04-08,2026-04-26,0.95,4,quantile,433.754365047277
ILI incidence,BE,2026-04-08,2026-04-26,0.975,4,quantile,573.238930771191
ILI incidence,BE,2026-04-08,2026-04-26,0.99,4,quantile,800.634961634809
ILI incidence,BE,2026-04-08,2026-04-05,,1,median,63.5499134638537
ILI incidence,BE,2026-04-08,2026-04-12,,2,median,62.1827085233992
ILI incidence,BE,2026-04-08,2026-04-19,,3,median,62.2206828532345
ILI incidence,BE,2026-04-08,2026-04-26,,4,median,63.3663322766745
ILI incidence,CH,2026-04-08,2026-04-05,0.01,1,quantile,2.4206529094065
ILI incidence,CH,2026-04-08,2026-04-05,0.025,1,quantile,2.81627522416897
ILI incidence,CH,2026-04-08,2026-04-05,0.05,1,quantile,4.2116357039407
ILI incidence,CH,2026-04-08,2026-04-05,0.1,1,quantile,5.85041057482355
ILI incidence,CH,2026-04-08,2026-04-05,0.15,1,quantile,7.47964205580468
ILI incidence,CH,2026-04-08,2026-04-05,0.2,1,quantile,9.91475317455263
ILI incidence,CH,2026-04-08,2026-04-05,0.25,1,quantile,12.0519474392442
ILI incidence,CH,2026-04-08,2026-04-05,0.3,1,quantile,14.9485281944566
ILI incidence,CH,2026-04-08,2026-04-05,0.35,1,quantile,19.6752088821691
ILI incidence,CH,2026-04-08,2026-04-05,0.4,1,quantile,23.0528095340295
ILI incidence,CH,2026-04-08,2026-04-05,0.45,1,quantile,27.2526120602727
ILI incidence,CH,2026-04-08,2026-04-05,0.5,1,quantile,32.1767963459067
ILI incidence,CH,2026-04-08,2026-04-05,0.55,1,quantile,38.22637638695
ILI incidence,CH,2026-04-08,2026-04-05,0.6,1,quantile,43.2574413450537
ILI incidence,CH,2026-04-08,2026-04-05,0.65,1,quantile,49.4666282136385
ILI incidence,CH,2026-04-08,2026-04-05,0.7,1,quantile,56.783013888444
ILI incidence,CH,2026-04-08,2026-04-05,0.75,1,quantile,62.5213350126976
ILI incidence,CH,2026-04-08,2026-04-05,0.8,1,quantile,70.8084356448984
ILI incidence,CH,2026-04-08,2026-04-05,0.85,1,quantile,81.3921965611211
ILI incidence,CH,2026-04-08,2026-04-05,0.9,1,quantile,97.6653540165032
ILI incidence,CH,2026-04-08,2026-04-05,0.95,1,quantile,118.86866863431
