"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-04-08,1,2026-04-05,0.9,4830.1,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.95,4843.45,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.975,4872.35,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.99,4893.01,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.01,0,"quantile","ILI incidence","NL"
2026-04-08,1,2026-04-05,0.025,0,"quantile","ILI incidence","NL"
2026-04-08,1,2026-04-05,0.05,0,"quantile","ILI incidence","NL"
2026-04-08,1,2026-04-05,0.1,0,"quantile","ILI incidence","NL"
2026-04-08,1,2026-04-05,0.15,0,"quantile","ILI incidence","NL"
2026-04-08,1,2026-04-05,0.2,0,"quantile","ILI incidence","NL"
2026-04-08,1,2026-04-05,0.25,0,"quantile","ILI incidence","NL"
